,Borough,Neighborhood,Latitude,Longitude,Population
91,Queens,Richmond Hill,40.69794731471763,-73.83183321446887,62982
92,Queens,Long Island City,40.75021734610528,-73.93920223915505,20030
93,Queens,Sunnyside,40.74017628351924,-73.92691617561577,63271
94,Queens,East Elmhurst,40.76407323883091,-73.86704147658772,23150
95,Queens,Ridgewood,40.70832315613858,-73.90143517559589,69317
96,Queens,Glendale,40.70276242967838,-73.87074167435605,32496
97,Queens,Rego Park,40.72897409480735,-73.8578268690537,28260
98,Queens,Woodhaven,40.68988687915789,-73.8581104655432,56674
99,Queens,South Ozone Park,40.66854957767195,-73.80986478649041,75878
100,Queens,College Point,40.784902749260205,-73.84304528896125,24069
101,Queens,Bayside,40.76604063281064,-73.7742736306867,43808
102,Queens,Little Neck,40.7708261928267,-73.7388977558074,17823
103,Queens,Douglaston,40.76684609790763,-73.7424982072733,17823
104,Queens,Glen Oaks,40.74944079974332,-73.71548118999145,29506
105,Queens,Kew Gardens Hills,40.722578244228046,-73.82087764933566,37479
106,Queens,Fresh Meadows,40.7343944653313,-73.78271337003264,17812
107,Queens,Briarwood,40.71093547252271,-73.81174822458634,53877
108,Queens,Oakland Gardens,40.74561857141855,-73.75494976234332,43808
109,Queens,Queens Village,40.718893092167356,-73.73871484578424,52504
110,Queens,Hollis,40.71124344191904,-73.75925009335594,20269
111,Queens,South Jamaica,40.696911253789885,-73.7904261313554,32496
112,Queens,St. Albans,40.69444538522359,-73.75867603727717,48593
113,Queens,Springfield Gardens,40.666230490368584,-73.76042092682287,39827
114,Queens,Cambria Heights,40.692774639160845,-73.73526873708026,18677
115,Queens,Rosedale,40.659816433428084,-73.73526079428278,25063
116,Queens,Far Rockaway,40.603134432500894,-73.75497968043872,60035
117,Queens,Breezy Point,40.55740128845452,-73.92551196994168,4079
118,Queens,Bay Terrace,40.782842806245554,-73.7768022262158,43808
119,Queens,Arverne,40.58914394372971,-73.79199233136943,18540
120,Queens,Neponsit,40.572036730217015,-73.85754672410827,2000
121,Queens,Floral Park,40.741378421945434,-73.70884705889246,15863
122,Queens,Holliswood,40.7209572076444,-73.76714166714729,20269
123,Queens,Lindenwood,40.66391841925139,-73.84963782402441,26148
124,Queens,Laurelton,40.66788389660247,-73.74025607989822,24453
125,Queens,Brookville,40.66000322733613,-73.75175310731153,39827
126,Queens,North Corona,40.7540709990489,-73.85751790676447,109695
127,Brooklyn,Rugby,40.655572313280764,-73.92688212616955,135619
128,Brooklyn,Mill Basin,40.61597423962336,-73.91515391550404,45231
129,Queens,Utopia,40.73350025429757,-73.79671678028349,17812
130,Bronx,Mount Hope,40.84884160724665,-73.90829930881988,24739
131,Queens,Hunters Point,40.743414090073536,-73.95386782130745,20030
132,Manhattan,Turtle Bay,40.75204236950722,-73.96770824581834,24856
133,Manhattan,Stuyvesant Town,40.73099955477061,-73.97405170469203,21049
134,Queens,Sunnyside Gardens,40.74565180608076,-73.91819286431682,63271
135,Queens,Blissville,40.73725071694497,-73.93244235260178,20030
136,Brooklyn,Vinegar Hill,40.70332149882874,-73.98111603592393,2671
137,Brooklyn,Dumbo,40.70317632822692,-73.9887528074504,1139
138,Brooklyn,Homecrest,40.598525095137255,-73.95918459428702,44316
139,Queens,Middle Village,40.716414511158185,-73.88114319200604,37929
140,Brooklyn,Erasmus,40.64692606658579,-73.94817709920184,135619
141,Manhattan,Hudson Yards,40.75665808227519,-74.00011136202637,70150
